"id","map_parent_id:id","name","field_number","move_type","field_type","sum_type","outside_spain","service_type"
"aeat_mod369_map_line_0027","aeat_mod369_map","Régimen Unión - OSS País 4 - Base Imponible 2",27,"all","base","both",0,"goods"
"aeat_mod369_map_line_0028","aeat_mod369_map","Régimen Unión - OSS País 4 - Cuota 2",28,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0029","aeat_mod369_map","Régimen Unión - OSS País 4 - Base Imponible 3",29,"all","base","both",0,"goods"
"aeat_mod369_map_line_0030","aeat_mod369_map","Régimen Unión - OSS País 4 - Cuota 3",30,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0031","aeat_mod369_map","Régimen Unión - OSS País 4 - Base Imponible 4",31,"all","base","both",0,"goods"
"aeat_mod369_map_line_0032","aeat_mod369_map","Régimen Unión - OSS País 4 - Cuota 4",32,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0033","aeat_mod369_map","Régimen Unión - OSS País 5 - Base Imponible 1",33,"all","base","both",0,"goods"
"aeat_mod369_map_line_0034","aeat_mod369_map","Régimen Unión - OSS País 5 - Cuota 1",34,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0035","aeat_mod369_map","Régimen Unión - OSS País 5 - Base Imponible 2",35,"all","base","both",0,"goods"
"aeat_mod369_map_line_0036","aeat_mod369_map","Régimen Unión - OSS País 5 - Cuota 2",36,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0037","aeat_mod369_map","Régimen Unión - OSS País 5 - Base Imponible 3",37,"all","base","both",0,"goods"
"aeat_mod369_map_line_0038","aeat_mod369_map","Régimen Unión - OSS País 5 - Cuota 3",38,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0039","aeat_mod369_map","Régimen Unión - OSS País 5 - Base Imponible 4",39,"all","base","both",0,"goods"
"aeat_mod369_map_line_0040","aeat_mod369_map","Régimen Unión - OSS País 5 - Cuota 4",40,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0041","aeat_mod369_map","Régimen Unión - OSS País 6 - Base Imponible 1",41,"all","base","both",0,"goods"
"aeat_mod369_map_line_0042","aeat_mod369_map","Régimen Unión - OSS País 6 - Cuota 1",42,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0043","aeat_mod369_map","Régimen Unión - OSS País 6 - Base Imponible 2",43,"all","base","both",0,"goods"
"aeat_mod369_map_line_0044","aeat_mod369_map","Régimen Unión - OSS País 6 - Cuota 2",44,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0045","aeat_mod369_map","Régimen Unión - OSS País 6 - Base Imponible 3",45,"all","base","both",0,"goods"
"aeat_mod369_map_line_0046","aeat_mod369_map","Régimen Unión - OSS País 6 - Cuota 3",46,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0047","aeat_mod369_map","Régimen Unión - OSS País 6 - Base Imponible 4",47,"all","base","both",0,"goods"
"aeat_mod369_map_line_0048","aeat_mod369_map","Régimen Unión - OSS País 6 - Cuota 4",48,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0049","aeat_mod369_map","Régimen Unión - OSS País 7 - Base Imponible 1",49,"all","base","both",0,"goods"
"aeat_mod369_map_line_0050","aeat_mod369_map","Régimen Unión - OSS País 7 - Cuota 1",50,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0051","aeat_mod369_map","Régimen Unión - OSS País 7 - Base Imponible 2",51,"all","base","both",0,"goods"
"aeat_mod369_map_line_0052","aeat_mod369_map","Régimen Unión - OSS País 7 - Cuota 2",52,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0053","aeat_mod369_map","Régimen Unión - OSS País 7 - Base Imponible 3",53,"all","base","both",0,"goods"
"aeat_mod369_map_line_0054","aeat_mod369_map","Régimen Unión - OSS País 7 - Cuota 3",54,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0055","aeat_mod369_map","Régimen Unión - OSS País 7 - Base Imponible 4",55,"all","base","both",0,"goods"
"aeat_mod369_map_line_0056","aeat_mod369_map","Régimen Unión - OSS País 7 - Cuota 4",56,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0057","aeat_mod369_map","Régimen Unión - OSS País 8 - Base Imponible 1",57,"all","base","both",0,"goods"
"aeat_mod369_map_line_0058","aeat_mod369_map","Régimen Unión - OSS País 8 - Cuota 1",58,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0059","aeat_mod369_map","Régimen Unión - OSS País 8 - Base Imponible 2",59,"all","base","both",0,"goods"
"aeat_mod369_map_line_0060","aeat_mod369_map","Régimen Unión - OSS País 8 - Cuota 2",60,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0061","aeat_mod369_map","Régimen Unión - OSS País 8 - Base Imponible 3",61,"all","base","both",0,"goods"
"aeat_mod369_map_line_0062","aeat_mod369_map","Régimen Unión - OSS País 8 - Cuota 3",62,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0063","aeat_mod369_map","Régimen Unión - OSS País 8 - Base Imponible 4",63,"all","base","both",0,"goods"
"aeat_mod369_map_line_0064","aeat_mod369_map","Régimen Unión - OSS País 8 - Cuota 4",64,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0065","aeat_mod369_map","Régimen Unión - OSS País 9 - Base Imponible 1",65,"all","base","both",0,"goods"
"aeat_mod369_map_line_0066","aeat_mod369_map","Régimen Unión - OSS País 9 - Cuota 1",66,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0067","aeat_mod369_map","Régimen Unión - OSS País 9 - Base Imponible 2",67,"all","base","both",0,"goods"
"aeat_mod369_map_line_0068","aeat_mod369_map","Régimen Unión - OSS País 9 - Cuota 2",68,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0069","aeat_mod369_map","Régimen Unión - OSS País 9 - Base Imponible 3",69,"all","base","both",0,"goods"
"aeat_mod369_map_line_0070","aeat_mod369_map","Régimen Unión - OSS País 9 - Cuota 3",70,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0071","aeat_mod369_map","Régimen Unión - OSS País 9 - Base Imponible 4",71,"all","base","both",0,"goods"
"aeat_mod369_map_line_0072","aeat_mod369_map","Régimen Unión - OSS País 9 - Cuota 4",72,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0073","aeat_mod369_map","Régimen Unión - OSS País 10 - Base Imponible 1",73,"all","base","both",0,"goods"
"aeat_mod369_map_line_0074","aeat_mod369_map","Régimen Unión - OSS País 10 - Cuota 1",74,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0075","aeat_mod369_map","Régimen Unión - OSS País 10 - Base Imponible 2",75,"all","base","both",0,"goods"
"aeat_mod369_map_line_0076","aeat_mod369_map","Régimen Unión - OSS País 10 - Cuota 2",76,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0077","aeat_mod369_map","Régimen Unión - OSS País 10 - Base Imponible 3",77,"all","base","both",0,"goods"
"aeat_mod369_map_line_0078","aeat_mod369_map","Régimen Unión - OSS País 10 - Cuota 3",78,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0079","aeat_mod369_map","Régimen Unión - OSS País 10 - Base Imponible 4",79,"all","base","both",0,"goods"
"aeat_mod369_map_line_0080","aeat_mod369_map","Régimen Unión - OSS País 10 - Cuota 4",80,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0081","aeat_mod369_map","Régimen Unión - OSS País 11 - Base Imponible 1",81,"all","base","both",0,"goods"
"aeat_mod369_map_line_0082","aeat_mod369_map","Régimen Unión - OSS País 11 - Cuota 1",82,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0083","aeat_mod369_map","Régimen Unión - OSS País 11 - Base Imponible 2",83,"all","base","both",0,"goods"
"aeat_mod369_map_line_0084","aeat_mod369_map","Régimen Unión - OSS País 11 - Cuota 2",84,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0085","aeat_mod369_map","Régimen Unión - OSS País 11 - Base Imponible 3",85,"all","base","both",0,"goods"
"aeat_mod369_map_line_0086","aeat_mod369_map","Régimen Unión - OSS País 11 - Cuota 3",86,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0087","aeat_mod369_map","Régimen Unión - OSS País 11 - Base Imponible 4",87,"all","base","both",0,"goods"
"aeat_mod369_map_line_0088","aeat_mod369_map","Régimen Unión - OSS País 11 - Cuota 4",88,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0089","aeat_mod369_map","Régimen Unión - OSS País 12 - Base Imponible 1",89,"all","base","both",0,"goods"
"aeat_mod369_map_line_0090","aeat_mod369_map","Régimen Unión - OSS País 12 - Cuota 1",90,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0091","aeat_mod369_map","Régimen Unión - OSS País 12 - Base Imponible 2",91,"all","base","both",0,"goods"
"aeat_mod369_map_line_0092","aeat_mod369_map","Régimen Unión - OSS País 12 - Cuota 2",92,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0093","aeat_mod369_map","Régimen Unión - OSS País 12 - Base Imponible 3",93,"all","base","both",0,"goods"
"aeat_mod369_map_line_0094","aeat_mod369_map","Régimen Unión - OSS País 12 - Cuota 3",94,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0095","aeat_mod369_map","Régimen Unión - OSS País 12 - Base Imponible 4",95,"all","base","both",0,"goods"
"aeat_mod369_map_line_0096","aeat_mod369_map","Régimen Unión - OSS País 12 - Cuota 4",96,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0097","aeat_mod369_map","Régimen Unión - OSS País 13 - Base Imponible 1",97,"all","base","both",0,"goods"
"aeat_mod369_map_line_0098","aeat_mod369_map","Régimen Unión - OSS País 13 - Cuota 1",98,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0099","aeat_mod369_map","Régimen Unión - OSS País 13 - Base Imponible 2",99,"all","base","both",0,"goods"
"aeat_mod369_map_line_0100","aeat_mod369_map","Régimen Unión - OSS País 13 - Cuota 2",100,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0101","aeat_mod369_map","Régimen Unión - OSS País 13 - Base Imponible 3",101,"all","base","both",0,"goods"
"aeat_mod369_map_line_0102","aeat_mod369_map","Régimen Unión - OSS País 13 - Cuota 3",102,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0103","aeat_mod369_map","Régimen Unión - OSS País 13 - Base Imponible 4",103,"all","base","both",0,"goods"
"aeat_mod369_map_line_0104","aeat_mod369_map","Régimen Unión - OSS País 13 - Cuota 4",104,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0105","aeat_mod369_map","Régimen Unión - OSS País 14 - Base Imponible 1",105,"all","base","both",0,"goods"
"aeat_mod369_map_line_0106","aeat_mod369_map","Régimen Unión - OSS País 14 - Cuota 1",106,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0107","aeat_mod369_map","Régimen Unión - OSS País 14 - Base Imponible 2",107,"all","base","both",0,"goods"
"aeat_mod369_map_line_0108","aeat_mod369_map","Régimen Unión - OSS País 14 - Cuota 2",108,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0109","aeat_mod369_map","Régimen Unión - OSS País 14 - Base Imponible 3",109,"all","base","both",0,"goods"
"aeat_mod369_map_line_0110","aeat_mod369_map","Régimen Unión - OSS País 14 - Cuota 3",110,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0111","aeat_mod369_map","Régimen Unión - OSS País 14 - Base Imponible 4",111,"all","base","both",0,"goods"
"aeat_mod369_map_line_0112","aeat_mod369_map","Régimen Unión - OSS País 14 - Cuota 4",112,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0113","aeat_mod369_map","Régimen Unión - OSS País 15 - Base Imponible 1",113,"all","base","both",0,"goods"
"aeat_mod369_map_line_0114","aeat_mod369_map","Régimen Unión - OSS País 15 - Cuota 1",114,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0115","aeat_mod369_map","Régimen Unión - OSS País 15 - Base Imponible 2",115,"all","base","both",0,"goods"
"aeat_mod369_map_line_0116","aeat_mod369_map","Régimen Unión - OSS País 15 - Cuota 2",116,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0117","aeat_mod369_map","Régimen Unión - OSS País 15 - Base Imponible 3",117,"all","base","both",0,"goods"
"aeat_mod369_map_line_0118","aeat_mod369_map","Régimen Unión - OSS País 15 - Cuota 3",118,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0119","aeat_mod369_map","Régimen Unión - OSS País 15 - Base Imponible 4",119,"all","base","both",0,"goods"
"aeat_mod369_map_line_0120","aeat_mod369_map","Régimen Unión - OSS País 15 - Cuota 4",120,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0121","aeat_mod369_map","Régimen Unión - OSS País 16 - Base Imponible 1",121,"all","base","both",0,"goods"
"aeat_mod369_map_line_0122","aeat_mod369_map","Régimen Unión - OSS País 16 - Cuota 1",122,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0123","aeat_mod369_map","Régimen Unión - OSS País 16 - Base Imponible 2",123,"all","base","both",0,"goods"
"aeat_mod369_map_line_0124","aeat_mod369_map","Régimen Unión - OSS País 16 - Cuota 2",124,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0125","aeat_mod369_map","Régimen Unión - OSS País 16 - Base Imponible 3",125,"all","base","both",0,"goods"
"aeat_mod369_map_line_0126","aeat_mod369_map","Régimen Unión - OSS País 16 - Cuota 3",126,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0127","aeat_mod369_map","Régimen Unión - OSS País 16 - Base Imponible 4",127,"all","base","both",0,"goods"
"aeat_mod369_map_line_0128","aeat_mod369_map","Régimen Unión - OSS País 16 - Cuota 4",128,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0129","aeat_mod369_map","Régimen Unión - OSS País 17 - Base Imponible 1",129,"all","base","both",0,"goods"
"aeat_mod369_map_line_0130","aeat_mod369_map","Régimen Unión - OSS País 17 - Cuota 1",130,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0131","aeat_mod369_map","Régimen Unión - OSS País 17 - Base Imponible 2",131,"all","base","both",0,"goods"
"aeat_mod369_map_line_0132","aeat_mod369_map","Régimen Unión - OSS País 17 - Cuota 2",132,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0133","aeat_mod369_map","Régimen Unión - OSS País 17 - Base Imponible 3",133,"all","base","both",0,"goods"
"aeat_mod369_map_line_0134","aeat_mod369_map","Régimen Unión - OSS País 17 - Cuota 3",134,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0135","aeat_mod369_map","Régimen Unión - OSS País 17 - Base Imponible 4",135,"all","base","both",0,"goods"
"aeat_mod369_map_line_0136","aeat_mod369_map","Régimen Unión - OSS País 17 - Cuota 4",136,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0137","aeat_mod369_map","Régimen Unión - OSS País 18 - Base Imponible 1",137,"all","base","both",0,"goods"
"aeat_mod369_map_line_0138","aeat_mod369_map","Régimen Unión - OSS País 18 - Cuota 1",138,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0139","aeat_mod369_map","Régimen Unión - OSS País 18 - Base Imponible 2",139,"all","base","both",0,"goods"
"aeat_mod369_map_line_0140","aeat_mod369_map","Régimen Unión - OSS País 18 - Cuota 2",140,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0141","aeat_mod369_map","Régimen Unión - OSS País 18 - Base Imponible 3",141,"all","base","both",0,"goods"
"aeat_mod369_map_line_0142","aeat_mod369_map","Régimen Unión - OSS País 18 - Cuota 3",142,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0143","aeat_mod369_map","Régimen Unión - OSS País 18 - Base Imponible 4",143,"all","base","both",0,"goods"
"aeat_mod369_map_line_0144","aeat_mod369_map","Régimen Unión - OSS País 18 - Cuota 4",144,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0145","aeat_mod369_map","Régimen Unión - OSS País 19 - Base Imponible 1",145,"all","base","both",0,"goods"
"aeat_mod369_map_line_0146","aeat_mod369_map","Régimen Unión - OSS País 19 - Cuota 1",146,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0147","aeat_mod369_map","Régimen Unión - OSS País 19 - Base Imponible 2",147,"all","base","both",0,"goods"
"aeat_mod369_map_line_0148","aeat_mod369_map","Régimen Unión - OSS País 19 - Cuota 2",148,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0149","aeat_mod369_map","Régimen Unión - OSS País 19 - Base Imponible 3",149,"all","base","both",0,"goods"
"aeat_mod369_map_line_0150","aeat_mod369_map","Régimen Unión - OSS País 19 - Cuota 3",150,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0151","aeat_mod369_map","Régimen Unión - OSS País 19 - Base Imponible 4",151,"all","base","both",0,"goods"
"aeat_mod369_map_line_0152","aeat_mod369_map","Régimen Unión - OSS País 19 - Cuota 4",152,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0153","aeat_mod369_map","Régimen Unión - OSS País 20 - Base Imponible 1",153,"all","base","both",0,"goods"
"aeat_mod369_map_line_0154","aeat_mod369_map","Régimen Unión - OSS País 20 - Cuota 1",154,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0155","aeat_mod369_map","Régimen Unión - OSS País 20 - Base Imponible 2",155,"all","base","both",0,"goods"
"aeat_mod369_map_line_0156","aeat_mod369_map","Régimen Unión - OSS País 20 - Cuota 2",156,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0157","aeat_mod369_map","Régimen Unión - OSS País 20 - Base Imponible 3",157,"all","base","both",0,"goods"
"aeat_mod369_map_line_0158","aeat_mod369_map","Régimen Unión - OSS País 20 - Cuota 3",158,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0159","aeat_mod369_map","Régimen Unión - OSS País 20 - Base Imponible 4",159,"all","base","both",0,"goods"
"aeat_mod369_map_line_0160","aeat_mod369_map","Régimen Unión - OSS País 20 - Cuota 4",160,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0161","aeat_mod369_map","Régimen Unión - OSS País 21 - Base Imponible 1",161,"all","base","both",0,"goods"
"aeat_mod369_map_line_0162","aeat_mod369_map","Régimen Unión - OSS País 21 - Cuota 1",162,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0163","aeat_mod369_map","Régimen Unión - OSS País 21 - Base Imponible 2",163,"all","base","both",0,"goods"
"aeat_mod369_map_line_0164","aeat_mod369_map","Régimen Unión - OSS País 21 - Cuota 2",164,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0165","aeat_mod369_map","Régimen Unión - OSS País 21 - Base Imponible 3",165,"all","base","both",0,"goods"
"aeat_mod369_map_line_0166","aeat_mod369_map","Régimen Unión - OSS País 21 - Cuota 3",166,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0167","aeat_mod369_map","Régimen Unión - OSS País 21 - Base Imponible 4",167,"all","base","both",0,"goods"
"aeat_mod369_map_line_0168","aeat_mod369_map","Régimen Unión - OSS País 21 - Cuota 4",168,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0169","aeat_mod369_map","Régimen Unión - OSS País 22 - Base Imponible 1",169,"all","base","both",0,"goods"
"aeat_mod369_map_line_0170","aeat_mod369_map","Régimen Unión - OSS País 22 - Cuota 1",170,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0171","aeat_mod369_map","Régimen Unión - OSS País 22 - Base Imponible 2",171,"all","base","both",0,"goods"
"aeat_mod369_map_line_0172","aeat_mod369_map","Régimen Unión - OSS País 22 - Cuota 2",172,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0173","aeat_mod369_map","Régimen Unión - OSS País 22 - Base Imponible 3",173,"all","base","both",0,"goods"
"aeat_mod369_map_line_0174","aeat_mod369_map","Régimen Unión - OSS País 22 - Cuota 3",174,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0175","aeat_mod369_map","Régimen Unión - OSS País 22 - Base Imponible 4",175,"all","base","both",0,"goods"
"aeat_mod369_map_line_0176","aeat_mod369_map","Régimen Unión - OSS País 22 - Cuota 4",176,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0177","aeat_mod369_map","Régimen Unión - OSS País 23 - Base Imponible 1",177,"all","base","both",0,"goods"
"aeat_mod369_map_line_0178","aeat_mod369_map","Régimen Unión - OSS País 23 - Cuota 1",178,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0179","aeat_mod369_map","Régimen Unión - OSS País 23 - Base Imponible 2",179,"all","base","both",0,"goods"
"aeat_mod369_map_line_0180","aeat_mod369_map","Régimen Unión - OSS País 23 - Cuota 2",180,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0181","aeat_mod369_map","Régimen Unión - OSS País 23 - Base Imponible 3",181,"all","base","both",0,"goods"
"aeat_mod369_map_line_0182","aeat_mod369_map","Régimen Unión - OSS País 23 - Cuota 3",182,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0183","aeat_mod369_map","Régimen Unión - OSS País 23 - Base Imponible 4",183,"all","base","both",0,"goods"
"aeat_mod369_map_line_0184","aeat_mod369_map","Régimen Unión - OSS País 23 - Cuota 4",184,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0185","aeat_mod369_map","Régimen Unión - OSS País 24 - Base Imponible 1",185,"all","base","both",0,"goods"
"aeat_mod369_map_line_0186","aeat_mod369_map","Régimen Unión - OSS País 24 - Cuota 1",186,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0187","aeat_mod369_map","Régimen Unión - OSS País 24 - Base Imponible 2",187,"all","base","both",0,"goods"
"aeat_mod369_map_line_0188","aeat_mod369_map","Régimen Unión - OSS País 24 - Cuota 2",188,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0189","aeat_mod369_map","Régimen Unión - OSS País 24 - Base Imponible 3",189,"all","base","both",0,"goods"
"aeat_mod369_map_line_0190","aeat_mod369_map","Régimen Unión - OSS País 24 - Cuota 3",190,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0191","aeat_mod369_map","Régimen Unión - OSS País 24 - Base Imponible 4",191,"all","base","both",0,"goods"
"aeat_mod369_map_line_0192","aeat_mod369_map","Régimen Unión - OSS País 24 - Cuota 4",192,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0193","aeat_mod369_map","Régimen Unión - OSS País 25 - Base Imponible 1",193,"all","base","both",0,"goods"
"aeat_mod369_map_line_0194","aeat_mod369_map","Régimen Unión - OSS País 25 - Cuota 1",194,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0195","aeat_mod369_map","Régimen Unión - OSS País 25 - Base Imponible 2",195,"all","base","both",0,"goods"
"aeat_mod369_map_line_0196","aeat_mod369_map","Régimen Unión - OSS País 25 - Cuota 2",196,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0197","aeat_mod369_map","Régimen Unión - OSS País 25 - Base Imponible 3",197,"all","base","both",0,"goods"
"aeat_mod369_map_line_0198","aeat_mod369_map","Régimen Unión - OSS País 25 - Cuota 3",198,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0199","aeat_mod369_map","Régimen Unión - OSS País 25 - Base Imponible 4",199,"all","base","both",0,"goods"
"aeat_mod369_map_line_0200","aeat_mod369_map","Régimen Unión - OSS País 25 - Cuota 4",200,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0201","aeat_mod369_map","Régimen Unión - OSS País 26 - Base Imponible 1",201,"all","base","both",0,"goods"
"aeat_mod369_map_line_0202","aeat_mod369_map","Régimen Unión - OSS País 26 - Cuota 1",202,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0203","aeat_mod369_map","Régimen Unión - OSS País 26 - Base Imponible 2",203,"all","base","both",0,"goods"
"aeat_mod369_map_line_0204","aeat_mod369_map","Régimen Unión - OSS País 26 - Cuota 2",204,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0205","aeat_mod369_map","Régimen Unión - OSS País 26 - Base Imponible 3",205,"all","base","both",0,"goods"
"aeat_mod369_map_line_0206","aeat_mod369_map","Régimen Unión - OSS País 26 - Cuota 3",206,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0207","aeat_mod369_map","Régimen Unión - OSS País 26 - Base Imponible 4",207,"all","base","both",0,"goods"
"aeat_mod369_map_line_0208","aeat_mod369_map","Régimen Unión - OSS País 26 - Cuota 4",208,"all","amount","both",0,"goods"
"aeat_mod369_map_line_0209","aeat_mod369_map","Régimen Unión - OSS País 27 - Base Imponible 1",209,"all","base","both",0,"goods"
